FECHACOMPROBANTE,SUCURSAL,DEPÓSITO,OPERACION,TIPO_CBTE,NRO_CBTE,SUBTIPO_CBTE,SUBDIARIO,CAJAORIGEN,CAJADESTINO,TIPOREFERENTE,IDCLIENTE,RAZONSOCIAL,CUIT,CATEGORIAIVA,TIPOCLIENTE,IDZONA,IDZONA,ZONA,CPLOCALIDAD,LOCALIDAD,IDVENDEDOR,VENDEDOR,IDCOBRADOR,COBRADOR,MONEDACBTE,COTIZACION,FORMADEPAGO,CONDICIONCOMERCIALIZACION,TIPOARTICULO,IDGRUPO,IDSUBGRUPO,TIPO,NROARTICULO_ITEM_REFCONT,DESCRIPCION,OBSERVACIONLINEA,CANTIDAD,PESO,CANTIDADELEMENTOS,PRECIO,ALICUOTAIVA,ALICUOTAIMPINT,LISTADEPRECIO,PRECIOLISTA,PRECIOORIGINAL,PROMOCION,PORCENTAJEDESCUENTO,PORCENTAJEDESCUENTOGLOBAL,IMPORTENETO,IMPORTEIVA,IMPORTEIMPUESTOINTERNO,IMPORTEPERCEPCION,IMPORTETOTAL,IMPORTENETOPESOS,IMPORTEIVAPESOS,IMPORTEIMPUESTOINTPESOS,IMPORTEPERCEPCIONPESOS,IMPORTETOTALPESOS,OBSERVACIONCOMPROBANTE,USUARIO,FECHACREACION,FECHACONTABLE,CAMION,ORDENCARGA_ID
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,2836,TOALL FEM LINA C/ALAS X 8 UND, ,96,0,4608,892.83,21,0,Costo,892.83,892.83,0,0,0,85711.68,0,0,0,85711.68,85711.68,0,0,0,85711.68,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,1423,TOALL FEM LADYSOFT C/ALAS X 8 UND, ,54,0,2592,685.84,21,0,Costo,685.84,685.84,0,0,0,37035.36,0,0,0,37035.36,37035.36,0,0,0,37035.36,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,5983,TOALL FEM S LIBRE ESP C/ALAS X 8 U, ,60,0,2880,993.31,21,0,Costo,993.31,993.31,0,0,0,59598.6,0,0,0,59598.6,59598.6,0,0,0,59598.6,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,1215,AGUA OXIGENADA 321CREMOSA 20VOL.X 100, ,40,0,800,700.97,21,0,Costo,700.97,700.97,0,0,0,28038.8,0,0,0,28038.8,28038.8,0,0,0,28038.8,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,2813,TAMPONES O.B. MEDIO X 8 UND, ,40,0,1600,2374.51,21,0,Costo,2374.51,2374.51,0,0,0,94980.4,0,0,0,94980.4,94980.4,0,0,0,94980.4,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,2,A,2804,TAMPONES O.B. SUPER X 8 UND, ,40,0,1600,2374.51,21,0,Costo,2374.51,2374.51,0,0,0,94980.4,0,0,0,94980.4,94980.4,0,0,0,94980.4,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
15/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00002388,0,Stock,Sucursal,,P,1172,AUTOSERV. MAYOR. LIDER S.R.L.,30708178051,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,32,1,A,1399,COLGATE M P SABOR ORIGINAL X 70 GR, ,144,0,1728,1328.15,21,0,Costo,1328.15,1328.15,0,0,0,191253.6,0,0,0,191253.6,191253.6,0,0,0,191253.6,,GUERRA FABIAN,15/10/2024 10:44,15/10/2024,(0) REP.No00-MOSTRADOR,0
14/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00141024,0,Stock,Sucursal,,P,2011,VINAGRES HALCONERO S.R.L.,30707389016,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,49,1,A,4544,VINAGRE HALCONERO ALCOHOL PVC 930 CC, ,480,0,5760,551.14,21,0,Costo,551.14,551.14,0,0,0,264547.2,0,0,0,264547.2,264547.2,0,0,0,264547.2,,GUERRA FABIAN,14/10/2024 10:38,14/10/2024,(0) REP.No00-MOSTRADOR,0
14/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00141024,0,Stock,Sucursal,,P,2011,VINAGRES HALCONERO S.R.L.,30707389016,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,49,1,A,4549,VINAGRE HALCONERO MANZANA PVC 930 CC, ,60,0,720,1102.28,21,0,Costo,1102.28,1102.28,0,0,0,66136.8,0,0,0,66136.8,66136.8,0,0,0,66136.8,,GUERRA FABIAN,14/10/2024 10:38,14/10/2024,(0) REP.No00-MOSTRADOR,0
14/10/2024,SUC,DEP. Casa Central,STK,RSSTK,X0315-00141024,0,Stock,Sucursal,,P,2011,VINAGRES HALCONERO S.R.L.,30707389016,Responsable Inscripto, ,0,0, , , ,0,SUC MXCO,0,SUC MXCO,PESOS,1,Contado,,1 - Varios,49,1,A,4548,VINAGRE HALCONERO MANZANA PVC 500 CC, ,60,0,720,966.49,21,0,Costo,966.49,966.49,0,0,0,57989.4,0,0,0,57989.4,57989.4,0,0,0,57989.4,,GUERRA FABIAN,14/10/2024 10:38,14/10/2024,(0) REP.No00-MOSTRADOR,0
